,res1,res2,cont1,cont2,s:e,position1,position2,sorted,result,s1,s2,season,episode,prediction,pt_preds,binary_pred,pred_correct,r1,r2
1696,7.0,2.0,Dusty Ray Bottoms,Eureka,10:7.0,,HIGH,"[['Dusty Ray Bottoms', 'Eureka'], '10:7.0']",0,0,1,10.0,7.0,1.6178773198064599e-07,4.8852755723208377e-14,0,1,"trueskill.Rating(mu=15.728, sigma=1.407)","trueskill.Rating(mu=25.268, sigma=0.913)"
1698,7.0,2.0,Kalorie Karbdashian Williams,Eureka,10:7.0,,HIGH,"[['Eureka', 'Kalorie Karbdashian Williams'], '10:7.0']",0,0,1,10.0,7.0,4.56916907055027e-13,4.43866048640428e-17,0,1,"trueskill.Rating(mu=7.734, sigma=2.030)","trueskill.Rating(mu=25.289, sigma=0.915)"
1701,7.0,2.0,Kalorie Karbdashian Williams,Monét X Change,10:7.0,,HIGH,"[['Kalorie Karbdashian Williams', 'Monét X Change'], '10:7.0']",0,0,1,10.0,7.0,2.5876071691136617e-11,3.8719019362636655e-14,0,1,"trueskill.Rating(mu=7.727, sigma=2.028)","trueskill.Rating(mu=24.744, sigma=1.156)"
1713,7.0,2.0,Vanessa Vanjie Mateo,Monét X Change,10:7.0,,HIGH,"[['Monét X Change', 'Vanessa Vanjie Mateo'], '10:7.0']",0,0,1,10.0,7.0,3.737690825141769e-12,9.132240938883676e-07,0,1,"trueskill.Rating(mu=4.841, sigma=2.358)","trueskill.Rating(mu=24.747, sigma=1.158)"
1715,5.0,2.0,The Vixen,Eureka,10:7.0,BTM2,HIGH,"[['Eureka', 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,0.29822790045330955,3.3210561813076416e-05,0,1,"trueskill.Rating(mu=24.375, sigma=1.248)","trueskill.Rating(mu=25.291, sigma=0.918)"
1716,7.0,2.0,Vanessa Vanjie Mateo,Eureka,10:7.0,,HIGH,"[['Eureka', 'Vanessa Vanjie Mateo'], '10:7.0']",0,0,1,10.0,7.0,7.14463205011769e-14,2.907918714634997e-10,0,1,"trueskill.Rating(mu=4.837, sigma=2.358)","trueskill.Rating(mu=25.399, sigma=0.915)"
1717,5.0,2.0,The Vixen,Monét X Change,10:7.0,BTM2,HIGH,"[['Monét X Change', 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,0.3811921489225103,0.0038766440455240696,0,1,"trueskill.Rating(mu=24.175, sigma=1.234)","trueskill.Rating(mu=24.748, sigma=1.161)"
1723,6.0,2.0,Monique Heart,Eureka,10:7.0,ELIM,HIGH,"[['Eureka', 'Monique Heart'], '10:7.0']",0,0,1,10.0,7.0,0.3121080171225932,5.3241443360469784e-06,0,1,"trueskill.Rating(mu=24.554, sigma=1.246)","trueskill.Rating(mu=25.400, sigma=0.919)"
1725,6.0,2.0,Monique Heart,Monét X Change,10:7.0,ELIM,HIGH,"[['Monique Heart', 'Monét X Change'], '10:7.0']",0,0,1,10.0,7.0,0.38003025034454524,0.0010267319798917954,0,1,"trueskill.Rating(mu=24.353, sigma=1.232)","trueskill.Rating(mu=24.928, sigma=1.150)"
6337,4.0,3.0,Asia O'Hara,Miz Cracker,10:7.0,LOW,SAFE,"[[""Asia O'Hara"", 'Miz Cracker'], '10:7.0']",0,0,1,10.0,7.0,0.13009516836291446,0.5571164204186909,0,1,"trueskill.Rating(mu=24.890, sigma=1.194)","trueskill.Rating(mu=27.097, sigma=1.284)"
6338,4.0,3.0,Asia O'Hara,Kameron Michaels,10:7.0,LOW,SAFE,"[[""Asia O'Hara"", 'Kameron Michaels'], '10:7.0']",0,0,1,10.0,7.0,0.30621573426977994,0.3260978938439033,0,1,"trueskill.Rating(mu=24.738, sigma=1.184)","trueskill.Rating(mu=25.684, sigma=1.179)"
6414,7.0,3.0,Vanessa Vanjie Mateo,Miz Cracker,10:7.0,,SAFE,"[['Miz Cracker', 'Vanessa Vanjie Mateo'], '10:7.0']",0,0,1,10.0,7.0,2.0491044973966815e-14,9.084255655066859e-09,0,1,"trueskill.Rating(mu=4.834, sigma=2.357)","trueskill.Rating(mu=27.272, sigma=1.270)"
6416,7.0,3.0,Vanessa Vanjie Mateo,Kameron Michaels,10:7.0,,SAFE,"[['Kameron Michaels', 'Vanessa Vanjie Mateo'], '10:7.0']",0,0,1,10.0,7.0,2.5643948286971185e-13,1.897442897665724e-10,0,1,"trueskill.Rating(mu=4.833, sigma=2.358)","trueskill.Rating(mu=25.861, sigma=1.168)"
6419,7.0,3.0,Kalorie Karbdashian Williams,Miz Cracker,10:7.0,,SAFE,"[['Kalorie Karbdashian Williams', 'Miz Cracker'], '10:7.0']",0,0,1,10.0,7.0,1.0094121462808983e-13,6.725901985159101e-16,0,1,"trueskill.Rating(mu=7.717, sigma=2.026)","trueskill.Rating(mu=27.273, sigma=1.272)"
6443,7.0,3.0,Kalorie Karbdashian Williams,Kameron Michaels,10:7.0,,SAFE,"[['Kalorie Karbdashian Williams', 'Kameron Michaels'], '10:7.0']",0,0,1,10.0,7.0,1.439641596954374e-12,2.836949008812622e-17,0,1,"trueskill.Rating(mu=7.714, sigma=2.026)","trueskill.Rating(mu=25.862, sigma=1.171)"
6445,7.0,3.0,Blair St. Clair,Kameron Michaels,10:7.0,,SAFE,"[['Blair St. Clair', 'Kameron Michaels'], '10:7.0']",0,0,1,10.0,7.0,0.3149170683928219,2.2269889809678794e-06,0,1,"trueskill.Rating(mu=24.918, sigma=1.306)","trueskill.Rating(mu=25.864, sigma=1.173)"
6450,6.0,3.0,Monique Heart,Miz Cracker,10:7.0,ELIM,SAFE,"[['Miz Cracker', 'Monique Heart'], '10:7.0']",0,0,1,10.0,7.0,0.05652820191764448,4.236484987728669e-05,0,1,"trueskill.Rating(mu=24.150, sigma=1.218)","trueskill.Rating(mu=27.274, sigma=1.275)"
6452,6.0,3.0,Monique Heart,Kameron Michaels,10:7.0,ELIM,SAFE,"[['Kameron Michaels', 'Monique Heart'], '10:7.0']",0,0,1,10.0,7.0,0.13981765388608428,2.9792154814347887e-06,0,1,"trueskill.Rating(mu=24.012, sigma=1.208)","trueskill.Rating(mu=26.038, sigma=1.162)"
6453,5.0,3.0,The Vixen,Miz Cracker,10:7.0,BTM2,SAFE,"[['Miz Cracker', 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,0.03931384149775508,0.0002119331306912278,0,1,"trueskill.Rating(mu=23.972, sigma=1.221)","trueskill.Rating(mu=27.425, sigma=1.262)"
6458,5.0,3.0,The Vixen,Kameron Michaels,10:7.0,BTM2,SAFE,"[['Kameron Michaels', 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,0.10466145144623037,1.8477101073751422e-05,0,1,"trueskill.Rating(mu=23.840, sigma=1.211)","trueskill.Rating(mu=26.187, sigma=1.153)"
6468,7.0,3.0,Blair St. Clair,Miz Cracker,10:7.0,,SAFE,"[['Blair St. Clair', 'Miz Cracker'], '10:7.0']",0,0,1,10.0,7.0,0.07700941087314503,3.1202902012624746e-05,0,1,"trueskill.Rating(mu=24.702, sigma=1.290)","trueskill.Rating(mu=27.565, sigma=1.251)"
6473,7.0,3.0,Yuhua Hamasaki,Miz Cracker,10:7.0,,SAFE,"[['Miz Cracker', 'Yuhua Hamasaki'], '10:7.0']",0,0,1,10.0,7.0,1.2923333240582103e-09,5.774599348027543e-13,0,1,"trueskill.Rating(mu=15.497, sigma=1.354)","trueskill.Rating(mu=27.716, sigma=1.239)"
6474,7.0,3.0,Yuhua Hamasaki,Kameron Michaels,10:7.0,,SAFE,"[['Kameron Michaels', 'Yuhua Hamasaki'], '10:7.0']",0,0,1,10.0,7.0,2.0773788835963917e-08,1.0773175008132331e-14,0,1,"trueskill.Rating(mu=15.475, sigma=1.352)","trueskill.Rating(mu=26.326, sigma=1.144)"
6476,7.0,3.0,Dusty Ray Bottoms,Miz Cracker,10:7.0,,SAFE,"[['Dusty Ray Bottoms', 'Miz Cracker'], '10:7.0']",0,0,1,10.0,7.0,3.943762539436865e-09,1.567158845018499e-12,0,1,"trueskill.Rating(mu=15.678, sigma=1.400)","trueskill.Rating(mu=27.735, sigma=1.238)"
6479,7.0,3.0,Dusty Ray Bottoms,Kameron Michaels,10:7.0,,SAFE,"[['Dusty Ray Bottoms', 'Kameron Michaels'], '10:7.0']",0,0,1,10.0,7.0,5.666311488046976e-08,3.318003893461777e-14,0,1,"trueskill.Rating(mu=15.654, sigma=1.397)","trueskill.Rating(mu=26.349, sigma=1.143)"
6480,7.0,3.0,Mayhem Miller,Miz Cracker,10:7.0,,SAFE,"[['Mayhem Miller', 'Miz Cracker'], '10:7.0']",0,0,1,10.0,7.0,3.300448488217396e-05,7.021529192970463e-09,0,1,"trueskill.Rating(mu=19.932, sigma=1.242)","trueskill.Rating(mu=27.754, sigma=1.237)"
6481,7.0,3.0,Mayhem Miller,Kameron Michaels,10:7.0,,SAFE,"[['Kameron Michaels', 'Mayhem Miller'], '10:7.0']",0,0,1,10.0,7.0,0.00027552457514309474,2.094140971380262e-10,0,1,"trueskill.Rating(mu=19.873, sigma=1.236)","trueskill.Rating(mu=26.374, sigma=1.142)"
6824,7.0,4.0,Mayhem Miller,Asia O'Hara,10:7.0,,LOW,"[[""Asia O'Hara"", 'Mayhem Miller'], '10:7.0']",0,0,1,10.0,7.0,0.006068172892524511,2.325502024943512e-09,0,1,"trueskill.Rating(mu=19.795, sigma=1.229)","trueskill.Rating(mu=24.559, sigma=1.173)"
6852,7.0,4.0,Yuhua Hamasaki,Asia O'Hara,10:7.0,,LOW,"[[""Asia O'Hara"", 'Yuhua Hamasaki'], '10:7.0']",0,0,1,10.0,7.0,1.8554128429738565e-06,1.553388917534501e-13,0,1,"trueskill.Rating(mu=15.443, sigma=1.348)","trueskill.Rating(mu=24.657, sigma=1.165)"
6869,7.0,4.0,Kalorie Karbdashian Williams,Asia O'Hara,10:7.0,,LOW,"[[""Asia O'Hara"", 'Kalorie Karbdashian Williams'], '10:7.0']",0,0,1,10.0,7.0,2.8707273384793658e-11,2.4384938689097933e-16,0,1,"trueskill.Rating(mu=7.708, sigma=2.025)","trueskill.Rating(mu=24.694, sigma=1.163)"
6875,7.0,4.0,Dusty Ray Bottoms,Asia O'Hara,10:7.0,,LOW,"[[""Asia O'Hara"", 'Dusty Ray Bottoms'], '10:7.0']",0,0,1,10.0,7.0,3.8005260948035347e-06,4.440194203214186e-13,0,1,"trueskill.Rating(mu=15.617, sigma=1.393)","trueskill.Rating(mu=24.697, sigma=1.165)"
6893,7.0,4.0,Blair St. Clair,Asia O'Hara,10:7.0,,LOW,"[[""Asia O'Hara"", 'Blair St. Clair'], '10:7.0']",0,0,1,10.0,7.0,0.4598054093850779,1.4515947294062749e-05,0,1,"trueskill.Rating(mu=24.541, sigma=1.276)","trueskill.Rating(mu=24.736, sigma=1.163)"
6953,6.0,4.0,Monique Heart,Asia O'Hara,10:7.0,ELIM,LOW,"[[""Asia O'Hara"", 'Monique Heart'], '10:7.0']",0,0,1,10.0,7.0,0.28159713214543686,1.9651125019825684e-05,0,1,"trueskill.Rating(mu=23.852, sigma=1.197)","trueskill.Rating(mu=24.925, sigma=1.152)"
6954,5.0,4.0,The Vixen,Asia O'Hara,10:7.0,BTM2,LOW,"[[""Asia O'Hara"", 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,0.22399600360891553,0.00010632346320223981,0,1,"trueskill.Rating(mu=23.687, sigma=1.200)","trueskill.Rating(mu=25.092, sigma=1.142)"
7109,7.0,4.0,Vanessa Vanjie Mateo,Asia O'Hara,10:7.0,,LOW,"[[""Asia O'Hara"", 'Vanessa Vanjie Mateo'], '10:7.0']",0,0,1,10.0,7.0,8.396322324675511e-13,2.6413344121431274e-09,0,1,"trueskill.Rating(mu=4.830, sigma=2.358)","trueskill.Rating(mu=25.248, sigma=1.132)"
7792,7.0,5.0,Kalorie Karbdashian Williams,The Vixen,10:7.0,,BTM2,"[['Kalorie Karbdashian Williams', 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,6.48153536473515e-10,4.082430802403098e-09,0,1,"trueskill.Rating(mu=7.698, sigma=2.023)","trueskill.Rating(mu=23.514, sigma=1.188)"
7794,7.0,5.0,Vanessa Vanjie Mateo,The Vixen,10:7.0,,BTM2,"[['The Vixen', 'Vanessa Vanjie Mateo'], '10:7.0']",0,0,1,10.0,7.0,8.135444175576172e-11,0.024874129661624785,0,1,"trueskill.Rating(mu=4.827, sigma=2.358)","trueskill.Rating(mu=23.520, sigma=1.190)"
7801,7.0,5.0,Yuhua Hamasaki,The Vixen,10:7.0,,BTM2,"[['The Vixen', 'Yuhua Hamasaki'], '10:7.0']",0,0,1,10.0,7.0,2.5531475942775025e-05,2.659802758409775e-05,0,1,"trueskill.Rating(mu=15.393, sigma=1.342)","trueskill.Rating(mu=23.521, sigma=1.193)"
7809,7.0,5.0,Dusty Ray Bottoms,The Vixen,10:7.0,,BTM2,"[['Dusty Ray Bottoms', 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,4.298753037983896e-05,4.084730850214176e-05,0,1,"trueskill.Rating(mu=15.562, sigma=1.386)","trueskill.Rating(mu=23.572, sigma=1.188)"
7842,7.0,5.0,Mayhem Miller,The Vixen,10:7.0,,BTM2,"[['Mayhem Miller', 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,0.019213436213409325,0.00968173939997795,0,1,"trueskill.Rating(mu=19.688, sigma=1.220)","trueskill.Rating(mu=23.624, sigma=1.184)"
7867,6.0,5.0,Monique Heart,The Vixen,10:7.0,ELIM,BTM2,"[['Monique Heart', 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,0.4857620420172393,0.3318998355874836,0,1,"trueskill.Rating(mu=23.672, sigma=1.185)","trueskill.Rating(mu=23.739, sigma=1.176)"
7872,7.0,5.0,Blair St. Clair,The Vixen,10:7.0,,BTM2,"[['Blair St. Clair', 'The Vixen'], '10:7.0']",0,0,1,10.0,7.0,0.5779960128543011,0.2824888650356025,1,0,"trueskill.Rating(mu=24.314, sigma=1.261)","trueskill.Rating(mu=23.936, sigma=1.164)"
8584,7.0,6.0,Yuhua Hamasaki,Monique Heart,10:7.0,,ELIM,"[['Monique Heart', 'Yuhua Hamasaki'], '10:7.0']",0,0,1,10.0,7.0,2.0657852616732945e-05,0.0001384404769057186,0,1,"trueskill.Rating(mu=15.328, sigma=1.335)","trueskill.Rating(mu=23.472, sigma=1.174)"
8630,7.0,6.0,Kalorie Karbdashian Williams,Monique Heart,10:7.0,,ELIM,"[['Kalorie Karbdashian Williams', 'Monique Heart'], '10:7.0']",0,0,1,10.0,7.0,4.91382037082004e-10,2.2785056665373765e-08,0,1,"trueskill.Rating(mu=7.683, sigma=2.019)","trueskill.Rating(mu=23.521, sigma=1.170)"
8704,7.0,6.0,Blair St. Clair,Monique Heart,10:7.0,,ELIM,"[['Blair St. Clair', 'Monique Heart'], '10:7.0']",0,0,1,10.0,7.0,0.6129908617339266,0.44117764712949553,1,0,"trueskill.Rating(mu=24.075, sigma=1.245)","trueskill.Rating(mu=23.526, sigma=1.172)"
8706,7.0,6.0,Mayhem Miller,Monique Heart,10:7.0,,ELIM,"[['Mayhem Miller', 'Monique Heart'], '10:7.0']",0,0,1,10.0,7.0,0.01305594245418043,0.028089269370727997,0,1,"trueskill.Rating(mu=19.567, sigma=1.211)","trueskill.Rating(mu=23.737, sigma=1.160)"
8737,7.0,6.0,Dusty Ray Bottoms,Monique Heart,10:7.0,,ELIM,"[['Dusty Ray Bottoms', 'Monique Heart'], '10:7.0']",0,0,1,10.0,7.0,1.5685058636088745e-05,0.00020009849585524695,0,1,"trueskill.Rating(mu=15.491, sigma=1.377)","trueskill.Rating(mu=23.842, sigma=1.152)"
8820,7.0,6.0,Vanessa Vanjie Mateo,Monique Heart,10:7.0,,ELIM,"[['Monique Heart', 'Vanessa Vanjie Mateo'], '10:7.0']",0,0,1,10.0,7.0,2.4003422069464824e-11,0.06764415652974666,0,1,"trueskill.Rating(mu=4.820, sigma=2.356)","trueskill.Rating(mu=23.888, sigma=1.149)"
1012,7.0,1.0,Dusty Ray Bottoms,Kameron Michaels,10:8.0,,WIN,"[['Dusty Ray Bottoms', 'Kameron Michaels'], '10:8.0']",0,0,1,10.0,8.0,1.521464966900324e-08,3.318003893461777e-14,0,1,"trueskill.Rating(mu=15.427, sigma=1.369)","trueskill.Rating(mu=26.440, sigma=1.138)"
1014,7.0,1.0,Yuhua Hamasaki,Kameron Michaels,10:8.0,,WIN,"[['Kameron Michaels', 'Yuhua Hamasaki'], '10:8.0']",0,0,1,10.0,8.0,4.919989011717383e-09,1.0773175008132331e-14,0,1,"trueskill.Rating(mu=15.265, sigma=1.327)","trueskill.Rating(mu=26.462, sigma=1.137)"
1016,7.0,1.0,Kalorie Karbdashian Williams,Kameron Michaels,10:8.0,,WIN,"[['Kalorie Karbdashian Williams', 'Kameron Michaels'], '10:8.0']",0,0,1,10.0,8.0,1.1642655891430546e-13,2.836949008812622e-17,0,1,"trueskill.Rating(mu=7.668, sigma=2.015)","trueskill.Rating(mu=26.483, sigma=1.137)"
1019,7.0,1.0,Vanessa Vanjie Mateo,Kameron Michaels,10:8.0,,WIN,"[['Kameron Michaels', 'Vanessa Vanjie Mateo'], '10:8.0']",0,0,1,10.0,8.0,3.3625934909171354e-14,1.897442897665724e-10,0,1,"trueskill.Rating(mu=4.813, sigma=2.354)","trueskill.Rating(mu=26.484, sigma=1.139)"
1064,7.0,1.0,Mayhem Miller,Kameron Michaels,10:8.0,,WIN,"[['Kameron Michaels', 'Mayhem Miller'], '10:8.0']",0,0,1,10.0,8.0,7.398465728379497e-05,2.094140971380262e-10,0,1,"trueskill.Rating(mu=19.451, sigma=1.202)","trueskill.Rating(mu=26.485, sigma=1.142)"
1104,5.0,1.0,Asia O'Hara,Kameron Michaels,10:8.0,BTM2,WIN,"[[""Asia O'Hara"", 'Kameron Michaels'], '10:8.0']",0,0,1,10.0,8.0,0.23550059121539832,0.3260978938439033,0,1,"trueskill.Rating(mu=25.249, sigma=1.135)","trueskill.Rating(mu=26.544, sigma=1.138)"
1107,3.0,1.0,Miz Cracker,Kameron Michaels,10:8.0,SAFE,WIN,"[['Kameron Michaels', 'Miz Cracker'], '10:8.0']",0,0,1,10.0,8.0,0.7239209883230173,0.277962221874276,1,0,"trueskill.Rating(mu=27.813, sigma=1.232)","trueskill.Rating(mu=26.702, sigma=1.129)"
1108,3.0,1.0,Eureka,Kameron Michaels,10:8.0,SAFE,WIN,"[['Eureka', 'Kameron Michaels'], '10:8.0']",0,0,1,10.0,8.0,0.19268954343716266,0.3940106318302178,0,1,"trueskill.Rating(mu=25.510, sigma=0.916)","trueskill.Rating(mu=26.911, sigma=1.118)"
1109,2.0,1.0,Monét X Change,Kameron Michaels,10:8.0,HIGH,WIN,"[['Kameron Michaels', 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,0.1355346575470156,0.0633353753488668,0,1,"trueskill.Rating(mu=25.105, sigma=1.140)","trueskill.Rating(mu=27.062, sigma=1.110)"
1111,6.0,1.0,The Vixen,Kameron Michaels,10:8.0,ELIM,WIN,"[['Kameron Michaels', 'The Vixen'], '10:8.0']",0,0,1,10.0,8.0,0.04306782817294012,1.8477101073751422e-05,0,1,"trueskill.Rating(mu=24.140, sigma=1.153)","trueskill.Rating(mu=27.199, sigma=1.102)"
1113,7.0,1.0,Monique Heart,Kameron Michaels,10:8.0,,WIN,"[['Kameron Michaels', 'Monique Heart'], '10:8.0']",0,0,1,10.0,8.0,0.026950608403754364,2.9792154814347887e-06,0,1,"trueskill.Rating(mu=23.889, sigma=1.152)","trueskill.Rating(mu=27.314, sigma=1.095)"
1114,7.0,1.0,Blair St. Clair,Kameron Michaels,10:8.0,,WIN,"[['Blair St. Clair', 'Kameron Michaels'], '10:8.0']",0,0,1,10.0,8.0,0.025496531419979013,2.2269889809678794e-06,0,1,"trueskill.Rating(mu=23.837, sigma=1.231)","trueskill.Rating(mu=27.421, sigma=1.089)"
1126,4.0,1.0,Aquaria,Kameron Michaels,10:8.0,LOW,WIN,"[['Aquaria', 'Kameron Michaels'], '10:8.0']",0,0,1,10.0,8.0,0.6754741519571781,0.8965780210999102,1,0,"trueskill.Rating(mu=28.351, sigma=1.214)","trueskill.Rating(mu=27.523, sigma=1.083)"
1650,5.0,2.0,Asia O'Hara,Monét X Change,10:8.0,BTM2,HIGH,"[[""Asia O'Hara"", 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,0.5293138812265437,0.8600162353542269,1,0,"trueskill.Rating(mu=25.092, sigma=1.126)","trueskill.Rating(mu=24.960, sigma=1.131)"
1665,3.0,2.0,Miz Cracker,Monét X Change,10:8.0,SAFE,HIGH,"[['Miz Cracker', 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,0.9042011756518917,0.8223932891466775,1,0,"trueskill.Rating(mu=27.564, sigma=1.217)","trueskill.Rating(mu=25.148, sigma=1.121)"
1669,4.0,2.0,Aquaria,Monét X Change,10:8.0,LOW,HIGH,"[['Aquaria', 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,0.9324359400221562,0.9972123359195908,1,0,"trueskill.Rating(mu=28.116, sigma=1.200)","trueskill.Rating(mu=25.386, sigma=1.110)"
1673,7.0,2.0,Blair St. Clair,Monét X Change,10:8.0,,HIGH,"[['Blair St. Clair', 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,0.1476797826546317,0.0007554959675681912,0,1,"trueskill.Rating(mu=23.706, sigma=1.220)","trueskill.Rating(mu=25.627, sigma=1.100)"
1677,7.0,2.0,Vanessa Vanjie Mateo,Monét X Change,10:8.0,,HIGH,"[['Monét X Change', 'Vanessa Vanjie Mateo'], '10:8.0']",0,0,1,10.0,8.0,1.3638385168441493e-13,9.132240938883676e-07,0,1,"trueskill.Rating(mu=4.812, sigma=2.354)","trueskill.Rating(mu=25.762, sigma=1.092)"
1680,7.0,2.0,Mayhem Miller,Monét X Change,10:8.0,,HIGH,"[['Mayhem Miller', 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,0.00021763716413022123,5.037845230504388e-07,0,1,"trueskill.Rating(mu=19.386, sigma=1.196)","trueskill.Rating(mu=25.763, sigma=1.095)"
1682,7.0,2.0,Kalorie Karbdashian Williams,Monét X Change,10:8.0,,HIGH,"[['Kalorie Karbdashian Williams', 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,4.3681143063588787e-13,3.8719019362636655e-14,0,1,"trueskill.Rating(mu=7.663, sigma=2.014)","trueskill.Rating(mu=25.825, sigma=1.091)"
1691,7.0,2.0,Yuhua Hamasaki,Monét X Change,10:8.0,,HIGH,"[['Monét X Change', 'Yuhua Hamasaki'], '10:8.0']",0,0,1,10.0,8.0,1.7068659443231456e-08,7.467650193890535e-11,0,1,"trueskill.Rating(mu=15.237, sigma=1.325)","trueskill.Rating(mu=25.827, sigma=1.094)"
1697,7.0,2.0,Dusty Ray Bottoms,Monét X Change,10:8.0,,HIGH,"[['Dusty Ray Bottoms', 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,4.344800445597958e-08,1.7702256871106649e-10,0,1,"trueskill.Rating(mu=15.395, sigma=1.365)","trueskill.Rating(mu=25.850, sigma=1.094)"
1706,6.0,2.0,The Vixen,Monét X Change,10:8.0,ELIM,HIGH,"[['Monét X Change', 'The Vixen'], '10:8.0']",0,0,1,10.0,8.0,0.14668697723002727,0.0038766440455240696,0,1,"trueskill.Rating(mu=24.014, sigma=1.145)","trueskill.Rating(mu=25.874, sigma=1.093)"
1721,7.0,2.0,Monique Heart,Monét X Change,10:8.0,,HIGH,"[['Monique Heart', 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,0.10219878929258966,0.0010267319798917954,0,1,"trueskill.Rating(mu=23.771, sigma=1.144)","trueskill.Rating(mu=26.009, sigma=1.086)"
1727,3.0,2.0,Eureka,Monét X Change,10:8.0,SAFE,HIGH,"[['Eureka', 'Monét X Change'], '10:8.0']",0,0,1,10.0,8.0,0.3227094437399373,0.9040368822453531,0,1,"trueskill.Rating(mu=25.408, sigma=0.913)","trueskill.Rating(mu=26.135, sigma=1.079)"
6157,7.0,3.0,Vanessa Vanjie Mateo,Miz Cracker,10:8.0,,SAFE,"[['Miz Cracker', 'Vanessa Vanjie Mateo'], '10:8.0']",0,0,1,10.0,8.0,8.125756760044354e-15,9.084255655066859e-09,0,1,"trueskill.Rating(mu=4.809, sigma=2.354)","trueskill.Rating(mu=27.283, sigma=1.202)"
6158,7.0,3.0,Vanessa Vanjie Mateo,Eureka,10:8.0,,SAFE,"[['Eureka', 'Vanessa Vanjie Mateo'], '10:8.0']",0,0,1,10.0,8.0,7.9203340183832e-14,2.907918714634997e-10,0,1,"trueskill.Rating(mu=4.808, sigma=2.355)","trueskill.Rating(mu=25.297, sigma=0.910)"
6164,7.0,3.0,Kalorie Karbdashian Williams,Miz Cracker,10:8.0,,SAFE,"[['Kalorie Karbdashian Williams', 'Miz Cracker'], '10:8.0']",0,0,1,10.0,8.0,2.6206750776932897e-14,6.725901985159101e-16,0,1,"trueskill.Rating(mu=7.657, sigma=2.014)","trueskill.Rating(mu=27.284, sigma=1.205)"
6165,7.0,3.0,Kalorie Karbdashian Williams,Eureka,10:8.0,,SAFE,"[['Eureka', 'Kalorie Karbdashian Williams'], '10:8.0']",0,0,1,10.0,8.0,2.4951072746679337e-13,4.43866048640428e-17,0,1,"trueskill.Rating(mu=7.654, sigma=2.014)","trueskill.Rating(mu=25.298, sigma=0.914)"
6170,7.0,3.0,Yuhua Hamasaki,Eureka,10:8.0,,SAFE,"[['Eureka', 'Yuhua Hamasaki'], '10:8.0']",0,0,1,10.0,8.0,8.88726744691249e-09,1.5424933289381914e-14,0,1,"trueskill.Rating(mu=15.203, sigma=1.321)","trueskill.Rating(mu=25.299, sigma=0.917)"
6171,7.0,3.0,Dusty Ray Bottoms,Miz Cracker,10:8.0,,SAFE,"[['Dusty Ray Bottoms', 'Miz Cracker'], '10:8.0']",0,0,1,10.0,8.0,2.2353462482599757e-09,1.567158845018499e-12,0,1,"trueskill.Rating(mu=15.358, sigma=1.361)","trueskill.Rating(mu=27.285, sigma=1.208)"
6175,7.0,3.0,Dusty Ray Bottoms,Eureka,10:8.0,,SAFE,"[['Dusty Ray Bottoms', 'Eureka'], '10:8.0']",0,0,1,10.0,8.0,2.3189674346026128e-08,4.8852755723208377e-14,0,1,"trueskill.Rating(mu=15.334, sigma=1.358)","trueskill.Rating(mu=25.317, sigma=0.919)"
6178,7.0,3.0,Yuhua Hamasaki,Miz Cracker,10:8.0,,SAFE,"[['Miz Cracker', 'Yuhua Hamasaki'], '10:8.0']",0,0,1,10.0,8.0,6.026577535067744e-10,5.774599348027543e-13,0,1,"trueskill.Rating(mu=15.165, sigma=1.317)","trueskill.Rating(mu=27.304, sigma=1.207)"
6206,7.0,3.0,Mayhem Miller,Miz Cracker,10:8.0,,SAFE,"[['Mayhem Miller', 'Miz Cracker'], '10:8.0']",0,0,1,10.0,8.0,1.178270595421892e-05,7.021529192970463e-09,0,1,"trueskill.Rating(mu=19.311, sigma=1.190)","trueskill.Rating(mu=27.322, sigma=1.206)"
6306,7.0,3.0,Mayhem Miller,Eureka,10:8.0,,SAFE,"[['Eureka', 'Mayhem Miller'], '10:8.0']",0,0,1,10.0,8.0,0.00014339819832969055,3.379579306585464e-10,0,1,"trueskill.Rating(mu=19.259, sigma=1.186)","trueskill.Rating(mu=25.336, sigma=0.920)"
6398,5.0,3.0,Asia O'Hara,Eureka,10:8.0,BTM2,SAFE,"[[""Asia O'Hara"", 'Eureka'], '10:8.0']",0,0,1,10.0,8.0,0.38368227049472264,0.4228144993811724,0,1,"trueskill.Rating(mu=24.905, sigma=1.116)","trueskill.Rating(mu=25.383, sigma=0.920)"
